name,order,user,companions,num_people,park,region,province,country,distance,elevation_gain,start_date,end_date,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,rating,status,route_source,route
Grand Canyon,1,Jamie,Guy,2,Grand Canyon,Grand Canyon,Arizona,USA,27.1,1510,2009-05-22,2009-05-23,17.1,9.0,27.9,0.0,32.3,-14.2,254.0,56.8,point to point,36.053,-112.084,0,0,1,0,0,0,0,0,7.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01AiYfPvlRvOg=FxjQC8Ipl0Kpj67RFkgAKfVwXnwjQjupt4A=/@36.0755210,-112.1179217,11.659z"
Field Trip Failure,2,Jamie,class,20,Algonquin,Muskoka,Ontario,Canada,10.0,140,2012-06-16,2012-06-17,26.8,16.8,0.0,0.0,28.4,-23.8,729.6,197.2,out and back,45.573,-78.525,1,1,1,1,1,0,0,0,1.0,1.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=Fwf0BL7t0Bo2WSaO56LiVF5i9wsA/@45.5685222,-78.5049178,13.034z"
Geothermal Tour,3,Jamie,,1,Lake Myvatn,Lake Myvatn,Iceland,Iceland,30.5,580,2018-08-02,2018-08-03,15.2,8.5,1.5,0.0,17.9,-15.7,414.3,414.2,loop,65.640,-16.915,0,1,0,0,0,0,1,1,5.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01A-mVi_796cQ=FxhsE7HqY0B3_9AWNnUdPjcZQYSmDglWCOctC-mfoUIAnYzI6_w6rNuxm3bPJEhtph5nMqg21AdRI1QN3ZdUuULZ9ix23x-t3_RhASCGmhCJv_qxBR6Dhpo393WBCqlzu6_u58BQBKA3AA==/@65.6222979,-16.8666854,10.894z"
Kepler Track,4,Jamie,,1,Fiordland,Southland,NZ South Island,New Zealand,55.0,1780,2019-11-28,2019-11-30,19.8,7.1,0.5,0.0,22.0,-1.9,1320.6,40.1,point to point,-45.492,167.664,1,1,1,1,1,0,1,0,7.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01_Unaiwn-Vw8=FzlsCAT8fJsvfLPlz7dQBwvqTiByCRA_HcIV5ADg1FVDQXywH2imiRT2ZAIKQNqA/@-45.4413561,167.6327508,10.352z"
Grotto Meteors,5,Jamie,Peyman,2,Bruce Peninsula,Bruce Peninsula,Ontario,Canada,39.4,320,2020-10-20,2020-10-22,11.4,5.9,12.0,0.1,24.2,-15.8,761.8,177.7,out and back,45.191,-81.420,1,1,0,0,0,0,1,0,5.0,5.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArGLxPsln-E=Fyj0BIc4SrDD_UIAZKR_CCuasIti-f1vf9QkClsAsKLDw5xMA5nougA=/@45.2165213,-81.4706708,11.374z"
Hypothermia Party,6,Jamie,Kamil,2,Algonquin,Muskoka,Ontario,Canada,32.6,530,2021-10-15,2021-10-17,20.4,6.1,24.4,0.0,28.2,-23.2,774.9,200.5,loop,45.463,-78.798,1,1,1,0,0,0,0,0,5.0,1.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArW2-_tNo_k=Fxj0EMy94rNxpszxNjAlqadM4BQj4LNneU52jmA=/@45.4908870,-78.8166749,11.307z"
Lake Faya,7,Jamie,Peyman,2,Algonquin,Muskoka,Ontario,Canada,25.0,400,2021-10-22,2021-10-24,7.0,1.2,0.0,0.0,28.4,-23.8,729.6,197.2,loop,45.573,-78.525,1,1,1,1,0,0,0,0,3.0,3.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=FxhsBg0lKH1xYXrRUqkdZp06YJTh2btZWNA=/@45.5599935,-78.4972530,12.357z"
Minnesing,8,Jamie,,1,Algonquin,Muskoka,Ontario,Canada,17.5,180,2022-03-26,2022-03-27,4.5,-12.6,0.4,2.0,28.1,-23.4,729.6,197.2,loop,45.556,-78.603,1,1,0,0,0,0,0,0,7.0,2.0,0,komoot,"https://www.komoot.com/plan/tour/d01ArcgKftQnhQ=FvjsE0CIx5Mf5UziXRBHmG-fDSrMyb_5wRDJUpCg/@45.5879834,-78.5907758,12.713z"
First Frontenac,9,Jamie,,1,Frontenac,Ottawa Valley,Ontario,Canada,42.3,350,2022-05-06,2022-05-08,15.6,3.6,0.0,0.0,30.5,-19.9,865.4,127.8,loop,44.577,-76.522,1,1,0,0,0,1,0,0,3.0,4.0,0,komoot,"https://www.komoot.com/plan/tour/d01AqgvwftwXjE=Fxh0E-jjyAWEJevkQfRYgic1YVvxLsiaxoaNzHYo_WZX8l82FlU-S67zs5GrKwo7HF2_2gA=/@44.5606631,-76.4475210,12.426z"
Bad Echo,10,Jamie,Linda,2,Bon Echo,Ottawa Valley,Ontario,Canada,14.0,140,2022-05-13,2022-05-15,27.4,12.1,1.0,0.0,30.1,-21.7,750.6,158.3,loop,44.902,-77.246,1,1,0,0,0,0,0,0,1.0,2.0,0,komoot,"https://www.komoot.com/plan/tour/d01Aq0ocPtlU1Q=FwgABIkHCGya5yRCU6h4YIRKMj3KSBfWxLFRkLvaoA==/@44.9199541,-77.2347337,12.106z"
